Gene ID	Entrez Gene ID	Gene Symbol	Gene Name	Organism	Unigene ID	Ensembl ID	UniProt ID	Alias	Lifespan Effect	Phenotype Description	Longevity Influence	Max Lifespan Change	Avg Lifespan Change	Method	Bibliographic reference
153	172513	D2030.4	Protein D2030.4	Caenorhabditis elegans	Cel.18342	D2030.4			increase	RNA interference extends lifespan by about 40%.	anti		40	RNA interference	
153	172513	D2030.4	Protein D2030.4	Caenorhabditis elegans	Cel.18342	D2030.4			increase	RNAi resulted in lifespan extension.	anti			RNA interference	
155	174387	D2085.3	Protein D2085.3	Caenorhabditis elegans	Cel.5496	D2085.3			increase	RNA interference in adulthood extended mean lifespan by 18%.	anti			RNA interference	
156	176829	daf-1	abnormal DAuer Formation	Caenorhabditis elegans	Cel.5220	F29C4.1			increase	Mutation in adults increased mean lifespan by up to 46% and maximum lifespan by 50%.	anti	50	46	Mutation	
239	184883	daf-10	abnormal DAuer Formation	Caenorhabditis elegans	Cel.26567	F23B2.4			increase	Loss-of-function mutation increases lifespan up to 60%.	anti		60	Mutation	
157	181263	daf-12	Abnormal DAuer Formation	Caenorhabditis elegans	Cel.18135	F11A1.3			increase	Mutations in daf-2 and daf-12, but not mutations in daf-12 alone, nearly quadruple lifespan.	anti			Mutation	
157	181263	daf-12	Abnormal DAuer Formation	Caenorhabditis elegans	Cel.18135	F11A1.3				daf-12(rh61rh411) is a class 3 daf-12 allele which is daf-d and results in shortened lifespan. This allele represents a putative null allele as it has two nonsense mutations affecting both the DNA binding domain (DBD) and ligand-binding domain (LBD). daf-12(rh273) is a class 6 daf-12 allele which is daf-c and results in lengthened lifespan. This allele has a R564H mutation altering a residue that in the thyroid hormone receptor makes direct contact with ligand and is believed to result in hormone insensitivity.daf-12(rh273) was much longer lived than the daf-12(rh61rh411) and showed a modest but significant increase in lifespan compared with wild-type N2 worms. The daf-12(rh273) allele results in a 38% increase in lifespan compared with daf-12(rh61rh411) and a 10% increase in lifespan compared with wild-type worms				Mutations	
158	177908	daf-14	abnormal DAuer Formation	Caenorhabditis elegans	Cel.9304	F01G10.8			increase	Mutation in adults increased mean lifespan by up to 44% and maximum lifespan by 50%.	anti	50	44	Mutation	
159	177770	daf-15	Abnormal DAuer Formation	Caenorhabditis elegans	Cel.7998	C10C5.6			increase	Mutations in daf-15 (raptor) extend adult lifespan.	anti			Mutation	
160	172981	daf-16	Abnormal DAuer Formation DAF-16, fork head-related transcription factor (daf-16)	Caenorhabditis elegans	Cel.18378	R13H8.1			decrease	Mutations in daf-16 suppress the life-extension caused by several mutations, including daf-2.	pro			Mutation	
160	172981	daf-16	Abnormal DAuer Formation DAF-16, fork head-related transcription factor (daf-16)	Caenorhabditis elegans	Cel.18378	R13H8.1				The increased lifespan of daf-2 and daf-23 mutants is suppressed completely by a daf-16 mutation.	pro			Mutations	
160	172981	daf-16	Abnormal DAuer Formation DAF-16, fork head-related transcription factor (daf-16)	Caenorhabditis elegans	Cel.18378	R13H8.1			decrease	70% decrease in median lifespan in daf-2 background and 45% decrease in lifespan in wild-type background.	pro		45	RNA interference	
161	176869	daf-18	Abnormal DAuer Formation	Caenorhabditis elegans	Cel.22643	T07A9.6			increase	Required for complete dauer formation. Overexpression increases adult lifespan in individual tissues.	pro			Overexpression	
161	176869	daf-18	Abnormal DAuer Formation	Caenorhabditis elegans	Cel.22643	T07A9.6				The increased lifespan of daf-2 mutants is partially suppressed in a daf- 2; daf-18 double mutant.	pro			Mutations	
161	176869	daf-18	Abnormal DAuer Formation	Caenorhabditis elegans	Cel.22643	T07A9.6			increase	Overexpression resulted in a 30% mean lifespan extension.	pro		30	Overexpression	
161	176869	daf-18	Abnormal DAuer Formation	Caenorhabditis elegans	Cel.22643	T07A9.6			decrease	Knockdown of daf-18 decreased lifespan.	pro			RNA interference	
162	174577	daf-19	Abnormal DAuer Formation	Caenorhabditis elegans	Cel.19518	F33H1.1			increase	Loss-of-function mutations increase lifespan up to 50%.	anti		50	Mutation	
163	175410	daf-2	abnormal DAuer Formation DAF-2, fork head-related transcription factor (daf-2)	Caenorhabditis elegans	Cel.8775	Y55D5A.5			increase	Mutants live more than twice as long as controls. This lifespan extension requires the activity of daf-16.	anti		100	Mutation	
163	175410	daf-2	abnormal DAuer Formation DAF-2, fork head-related transcription factor (daf-2)	Caenorhabditis elegans	Cel.8775	Y55D5A.5			increase	Post developmental RNAi resulted in a 79% increase in mean lifespan.	anti		79	RNA interference	
163	175410	daf-2	abnormal DAuer Formation DAF-2, fork head-related transcription factor (daf-2)	Caenorhabditis elegans	Cel.8775	Y55D5A.5			increase	RNAi resulted in a 17-22% increase in mean lifespan.	anti		22	RNA interference	
163	175410	daf-2	abnormal DAuer Formation DAF-2, fork head-related transcription factor (daf-2)	Caenorhabditis elegans	Cel.8775	Y55D5A.5			increase	Mutants show a two-fold increase in lifespan.	anti		100	Germline ablation in daf-2 mutants	
163	175410	daf-2	abnormal DAuer Formation DAF-2, fork head-related transcription factor (daf-2)	Caenorhabditis elegans	Cel.8775	Y55D5A.5			increase	Mutants show increased lifespan.	anti			Mutations	
163	175410	daf-2	abnormal DAuer Formation DAF-2, fork head-related transcription factor (daf-2)	Caenorhabditis elegans	Cel.8775	Y55D5A.5			increase	Mutations in the daf-2 gene double adult lifespan.	anti		100	Mutations	
163	175410	daf-2	abnormal DAuer Formation DAF-2, fork head-related transcription factor (daf-2)	Caenorhabditis elegans	Cel.8775	Y55D5A.5			increase	Mutants show a 2-3 fold increase in lifespan.	anti		200	Mutations	
164	191014	daf-28	Abnormal DAuer Formation	Caenorhabditis elegans	Cel.1435	Y116F11B.1			increase	Semi-dominant mutation increases lifespan by 10-15%.	pro		15	Mutation	
165	180431	daf-3	abnormal DAuer Formation	Caenorhabditis elegans	Cel.1120	F25E2.5			decrease	Mutation in adults decreased mean lifespan by 6-16% and maximum lifespan by up to 30%.	anti	30	16	Mutation	
166	175781	daf-4	abnormal DAuer Formation	Caenorhabditis elegans	Cel.6349	C05D2.1			increase	Mutation in adults increased mean lifespan by up to 120% and maximum lifespan by up to 185%.	anti	185	120	Mutation	
167	175054	daf-5	abnormal DAuer Formation	Caenorhabditis elegans	Cel.8086	W01G7.1			decrease	Mutation in adults reduced mean and maximum lifespan by 20%.	pro	20	20	Mutation	
168	181584	daf-6	abnormal DAuer Formation	Caenorhabditis elegans	Cel.619	F31F6.5			increase	Loss-of-function mutations extend lifespan by up to 50%.	anti		50	Mutation	
169	175237	daf-7	abnormal DAuer Formation	Caenorhabditis elegans	Cel.19630	B0412.2			increase	Mutations cause up to 50% mean and maximum life-extension. This effect is dependent upon daf-3 and on daf-16 but independent of daf-2. RNA interference increased mean lifespan by 30% and maximum lifespan by 10%.	anti	50	50	Mutation	
170	187612	daf-8	abnormal DAuer Formation	Caenorhabditis elegans	Cel.167	R05D11.1			increase	Mutation in adults increased mean lifespan by 31% but it did not increase maximum lifespan.	anti		31	Mutation	
171	180889	daf-9	abnormal DAuer Formation	Caenorhabditis elegans	Cel.9170	T13C5.1			increase	Mutations increase lifespan up to 52%.	anti		52	Mutation	
171	180889	daf-9	abnormal DAuer Formation	Caenorhabditis elegans	Cel.9170	T13C5.1			increase	Some mutations of daf-9 increase lifespan by 74%.	anti		74	Mutations	
1930	3565075	dagl-2	DiAcylGlycerol Lipase homolog	Caenorhabditis elegans	.10495				increase	Overexpression of dagl-2 (an ortholog of the fly inaE) extends mean lifespan by up to 13%. Conversely, RNA interference of dagl-2 results in a lifespan decrease of up to 14%, while loss-of-function mutantions result in a shorten lifespan by up to 20%.	pro		13	Overexpression	
1858	176138	dcr-1	Endoribonuclease dcr-1	Caenorhabditis elegans	.38691				decrease	Under normal growth conditions (20C) or modest heat stress (> 28C), dcr-1 mutants (Dicer-deficient) have decreased mean and maximum lifespan.	pro	20		Mutation	
725	189237	dct-11	DAF-16/FOXO Controlled, germline Tumor affecting	Caenorhabditis elegans	Cel.19818	W06B11.3			decrease	W06B11.3 stimulates the growth of gld-1 tumors. RNA interference increased mean lifespan up to 19% in a gld-1 mutant background and reduced mean lifespan by 10% in a wild-type background.	pro		10	
762	190351	dct-12	DAF-16/FOXO Controlled, germline Tumor affecting	Caenorhabditis elegans	Cel.13870	Y57A10C.7			increase	Y57A10C.7 appears to stimulate the growth of gld-1 tumours. RNA interference increased mean lifespan by 14% in wild type animals, 16% in daf-16 mutants and 12% in gld-1 mutants.	anti		14	RNA interference	
738	178476	dct-13	DAF-16/FOXO Controlled, germline Tumor affecting	Caenorhabditis elegans	Cel.11657	Y116A8C.17			increase	Y116A8C.17 appears to stimulate the growth of gld-1 tumours. RNA interference increased mean lifespan by 23% and maximum lifespan by 20% in wild type animals. It also increased mean lifespan by 21% in daf-16 mutants and 13% in gld-1 mutants.	anti	20	23	RNA interference	
742	189684	dct-14	DAF-16/FOXO Controlled, germline Tumor affecting	Caenorhabditis elegans	Cel.1864	Y38H6C.3			increase	Y38H6C.3 appears to stimulate the growth of gld-1 tumours. RNA interference increased mean lifespan by 19% in wild type animals, 21% in daf-16 mutants and 13% in gld-1 mutants.	anti		19	RNA interference	
728	189289	dct-15	DAF-16/FOXO Controlled, germline Tumor affecting	Caenorhabditis elegans	Cel.12209	W08D2.3			increase	W08D2.3 appears to stimulate the growth of gld-1 tumours. RNA interference increased mean lifespan up to 10% in wild type animals and 9% in gld-1 mutants.	anti		10	RNA interference	
272	174934	dct-18	DAF-16/FOXO Controlled, germline Tumor affecting	Caenorhabditis elegans	Cel.14924	F58G1.4			decrease	F35E12.7 stimulates the growth of gld-1 tumors. RNA interference increased mean lifespan up to 12% in a gld-1 mutant background and reduced mean lifespan by 8% in wild-type worms.	pro		8	RNA interference	
172	173954	ddl-1	Daf-16-Dependent Longevity (WT but not daf-16 lifespan increased)	Caenorhabditis elegans	Cel.14906	F59E12.10			increase	RNA interference results in lifespan extension.	anti			RNA interference	
172	173954	ddl-1	Daf-16-Dependent Longevity (WT but not daf-16 lifespan increased)	Caenorhabditis elegans	Cel.14906	F59E12.10			increase	Inhibition of DDL-1/2 increases longevity and thermotolerance in an hsf-1-dependent manner. RNAi extends lifespan by 12%-24%.	anti		24	RNA interference	
173	190025	ddl-2	Daf-16-Dependent Longevity (WT but not daf-16 lifespan increased)	Caenorhabditis elegans	Cel.14028	Y48E1B.1			increase	RNA interference results in lifespan extension.	anti			RNA interference	
173	190025	ddl-2	Daf-16-Dependent Longevity (WT but not daf-16 lifespan increased)	Caenorhabditis elegans	Cel.14028	Y48E1B.1			increase	Inhibition of DDL-1/2 increases longevity and thermotolerance in an hsf-1-dependent manner. RNAi extends lifespan by 12%-24%.	anti		24	RNA interference	
174	175087	ddl-3	Daf-16-Dependent Longevity (WT but not daf-16 lifespan increased)	Caenorhabditis elegans	Cel.21465	Y54G11A.8			increase	RNA interference results in lifespan extension.	anti			RNA interference	
175	179574	des-2	DEgeneration Suppressor	Caenorhabditis elegans	Cel.19736	T26H10.1			increase	Mutations in both des(bs29) and des(bs30) increase lifespan by approximately 60%.	anti		60	Mutation	
1931	174068	dgk-5	Putative diacylglycerol kinase K06A1.6	Caenorhabditis elegans	.14796				increase	Dgk-5 mutants (loss of function mutations or RNA interference) show an up to 11% increase in mean lifespan.	anti		11	RNA interference	
913	179741	dhs-21	DeHydrogenases, Short chain 	Caenorhabditis elegans		R11D1.11			decrease	Dhs-21 null mutants of C. elegans show defects in longevity, reproduction and egg-laying.	pro			RNA interference	
176	177676	dic-1	human DICE1 (Deleted In Cancer) homolog	Caenorhabditis elegans	Cel.5152				increase	RNA interference in adulthood extended mean lifespan by 22%.	anti		22	RNA interference	
177	174782	din-1	DAF-12 Interacting Protein	Caenorhabditis elegans	Cel.9037	F07A11.6			decrease	RNA interference had little effect on lifespan, but suppressed daf-9 life-extension.	pro			RNA interference	
914	177875	dis-3	DIS3 (yeast disjunction abnormal) exonuclease homolog	Caenorhabditis elegans		C04G2.6			decrease	11% mean lifespan reduction	pro		11	RNA interference	
180	180121	dkf-2	D Kinase Family	Caenorhabditis elegans	Cel.17825	T25E12.4			increase	Adult median and maximal lifespan increases by 40% and 20%, respectively, in animals lacking dkf-2. dkf-2 deficiency also ameliorated heat stress.	anti	20	40	Deletion	
2030	179945	dlat-1	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex	Caenorhabditis elegans	17215				increase	RNA interference of F23B12.5 results in an increased lifespan.	anti		9.9	RNA interference	
413	178387	dld-1	Protein DLD-1	Caenorhabditis elegans	Cel.8993	LLC1.3			increase	RNA interference increased mean lifespan by 61%.	anti		61	RNA interference	
413	178387	dld-1	Protein DLD-1	Caenorhabditis elegans	Cel.8993	LLC1.3				Intermediate doses of DLD RNAi (RNAi dilutions of 1/20 and 1/50) significantly (P < 0.005) shortened adult lifespan by 20-25%, whereas more potent doses of DLD RNAi (non diluted) significantly (P < 0.005) extended adult lifespan by 10%.	none			RNA interference	
181	173128	dlk-1	DAP (Death Associated Protein kinase) Like Kinase	Caenorhabditis elegans	Cel.24063	F33E2.2			decrease	Mutation reduced maximum lifespan by 30%.	pro	30		Mutation	
1949	172231	dnj-21	Mitochondrial import inner membrane translocase subunit TIM14	Caenorhabditis elegans	.16739				decrease	RNA interference of dnj-21 shortens mean lifespan (by 10.5%) compared to wild-type worms.	pro		10.5	RNA interference	
187	187266	dod-17	Downstream Of DAF-16 (regulated by DAF-16)	Caenorhabditis elegans	Cel.12611	K10D11.1			increase	RNA interference extended lifespan.	anti			RNA interference	
188	183813	dod-18	Downstream Of DAF-16 (regulated by DAF-16)	Caenorhabditis elegans	Cel.37001	C54G4.6			increase	RNA interference extended lifespan.	anti			RNA interference	
189	178564	dod-19	Downstream Of DAF-16 (regulated by DAF-16)	Caenorhabditis elegans	Cel.1336	ZK6.10			increase	RNA interference extended lifespan.	anti			RNA interference	
190	182037	dod-20	Downstream Of DAF-16 (regulated by DAF-16)	Caenorhabditis elegans	Cel.9404	B0554.6			increase	RNA interference extended lifespan.	anti			RNA interference	
191	183134	dod-21	Downstream Of DAF-16 (regulated by DAF-16)	Caenorhabditis elegans	Cel.23627	C32H11.9			increase	RNA interference extended lifespan.	anti			RNA interference	
192	178247	dod-22	Downstream Of DAF-16 (regulated by DAF-16)	Caenorhabditis elegans	Cel.12849	F55G11.5			increase	RNA interference extended lifespan.	anti			RNA interference	
193	186056	dod-23	Downstream Of DAF-16 (regulated by DAF-16)	Caenorhabditis elegans	Cel.15039	F49E12.2			increase	RNA interference extended lifespan.	anti			RNA interference	
194	178245	dod-24	Downstream Of DAF-16 (regulated by DAF-16)	Caenorhabditis elegans	Cel.13419	C32H11.12			increase	RNA interference extended lifespan.	anti			RNA interference	
2233	171797	dot-1.1	DOT1 histone methyltransferase	Caenorhabditis elegans					increase	Downregulation of dot-1.1 in post-reproductive rrf-3 worms (9 days) increased mean lifespan by 15%. 	anti		15	RNA interference	
1784	175492	dpy-27	Protein DPY-27	Caenorhabditis elegans					decrease	Post-developmental RNAi of dpy-27 shortens lifespan of wild type worms.	pro	25	23.5	Post-developmental RNA interference	
1964	3565236	drl-1	Dietary Restriction Like	Caenorhabditis elegans					increase	RNA interference of mekk-3 (drl-1, dietary-restriction like) increases mean lifespan by approximately 60% compared to the N2 wild-type. 	anti	40	60	RNA interference	
196	174994	drr-1	Protein DRR-1	Caenorhabditis elegans	Cel.15075	F45H10.4			increase	RNA interference extended lifespan.	anti			RNA interference	
197	259546	drr-2	Protein DRR-2	Caenorhabditis elegans	Cel.17423	T12D8.2			increase	RNA interference extended lifespan.	anti			RNA interference	
915	180398	dve-1	DVE (Defective proVEntriculus in Drosophila) homolog	Caenorhabditis elegans		ZK1193.5			decrease	Shortned lifespan compared to wild type controls.	pro			RNA interference	
915	180398	dve-1	DVE (Defective proVEntriculus in Drosophila) homolog	Caenorhabditis elegans		ZK1193.5			decrease	Several of the RNAi candidates (dve-1; lin-40; nhr-49; ceh-20; lin-11; and nhr-77) appeared to non-discriminately shorten lifespan in all strains tested, suggesting that the corresponding transcription factors are broadly required for survival. Interestingly, four RNAi clones (ZC123.3; nhr-119; ceh-37; and aha-1) affected wild-type and isp-1;ctb-1 mutant worms' lifespan to the same extent but exerted only a moderate or no effect on daf-16 and age-1 mutant longevity.	pro		53	RNA interference	
763	180175	E01B7.1	Protein E01B7.1	Caenorhabditis elegans					decrease	RNA interference decreased median lifespan by 59% in daf-2 mutants.	pro			RNA interference	
1947	177242	E04A4.5	Probable mitochondrial import inner membrane translocase subunit Tim17	Caenorhabditis elegans	.6756				decrease	RNA interference of E04A4.5 shortens mean lifespan (by 7.7%) compared to wild-type worms.	pro		7.7	RNA interference	
917	3564920	eak-7	hypothetical protein	Caenorhabditis elegans		K08E7.1			increase	Extended mean life span (20-30% in different backgrounds) when inactivated 	anti		30	RNA interference post development	
917	3564920	eak-7	hypothetical protein	Caenorhabditis elegans		K08E7.1			increase	eak-7 mutants live longer than wild-type animals.	pro	25	30	Mutation	
202		eat-1	EATing: abnormal pharyngeal pumping	Caenorhabditis elegans					increase	Loss-of-function mutations extend lifespan 10-30%.	anti		30	Mutation	
203	13183021	eat-18	EATing: abnormal pharyngeal pumping	Caenorhabditis elegans	Cel.17654				increase	Mutations extend lifespan by 15-60%.	anti		60	Mutation	
2066	24105308	eat-18	hypothetical protein	Caenorhabditis elegans	17654				increase	Eat-18 worm mutants display an increased mean lifespan (by up to 14%)	anti		14	Mutation	
204	175072	eat-2	EATing: abnormal pharyngeal pumping EAT-2	Caenorhabditis elegans	Cel.8968	Y48B6A.4			increase	Mutations result in partial starvation by disrupting the function of the pharynx and an approximately 50% extension of lifespan.	anti			Mutation	
205	174476	eat-3	EATing: abnormal pharyngeal pumping	Caenorhabditis elegans	Cel.15585	D2013.5			increase	The eat-3(ad426) allele extends lifespan by 10%.	anti		10	Mutation	
206	179796	eat-6	EATing: abnormal pharyngeal pumping	Caenorhabditis elegans	Cel.17890	B0365.3			increase	Mutations extend lifespan by 15-40%.	anti		40	Mutation	
2034	175975	eef-1A.1	Elongation factor 1-alpha	Caenorhabditis elegans	22703				increase	RNA interference of eft-3 results in an increased lifespan.	anti		18.1	RNA interference	
210	172743	eef-2	Elongation Factor	Caenorhabditis elegans	Cel.17795	F25H5.4			decrease	Post-developmental RNA interference reduced mean lifespan by 15%.	pro		15	RNA interference	
210	172743	eef-2	Elongation Factor	Caenorhabditis elegans	Cel.17795	F25H5.4			increase	RNA interference of eft-2 results in an increased lifespan.	anti		7.1	RNA interference	
211	179707	egl-10	EGg Laying defective	Caenorhabditis elegans	Cel.19633	F28C1.2			increase	RNA interference results in life-extension.	anti			RNA interference	
918	176992	egl-18	Erythroid-Like Transcription factor family	Caenorhabditis elegans		F55A8.1			increase	30% maximal lifespan extension	anti	30		RNA interference post development	
1790	174121	egl-27	Protein EGL-27	Caenorhabditis elegans					increase	Overexpression of egl-27 extends the lifespan of wild-type animals. egl-27 is also required for longevity extension effects of impaired insulin/IGF-1 like signaling, as reduced egl-27 activity fully suppresses the longevity of daf-2 worms.	pro	10	17.9	Overexpression	
212	179412	egl-3	EGg Laying defective	Caenorhabditis elegans	Cel.18027	C51E3.7			increase	RNA interference results in life-extension.	anti			RNA interference	
212	179412	egl-3	EGg Laying defective	Caenorhabditis elegans	Cel.18027	C51E3.7			increase	29% (daf-16 mutant) mean lifespan reduction and 65% (wt) mean lifespan extension.	anti		65	Mutation	
919	171751	egl-30	EGg Laying defective   	Caenorhabditis elegans		M01D7.7			increase	Egl-30 mutants (reduction-of-function) showed a 31%  median lifespan extension (in the daf-16 background) and a 38% median lifespan extension (compared to wild type). Conversely, egl-30 (gain-of-function) constitutively active Gaq mutants were short-lived.	anti		38	Mutation	
919	171751	egl-30	EGg Laying defective   	Caenorhabditis elegans		M01D7.7			increase	15% mean lifespan extension	anti		15	Mutation	
214	176094	egl-45	EGg Laying defective	Caenorhabditis elegans	Cel.17625	C27D11.1			increase	RNA interference in adulthood extended mean lifespan by 52%.	anti		52	RNA interference	
920	178537	egl-8	EGg Laying defective   	Caenorhabditis elegans		B0348.4			increase	Egl-8 mutants showed a 14%  mean lifespan reduction (in the daf-16 background ) and a 83% mean lifespan extension (compared to wild type). 	anti		83	Mutation	
920	178537	egl-8	EGg Laying defective   	Caenorhabditis elegans		B0348.4			increase	15% mean lifespan extension	anti		15	Mutation	
921	179461	egl-9	EGg Laying defective	Caenorhabditis elegans		F22E12.4			increase	Average lifespan increased by 20%, maximum lifespan increased up to 30%.	anti	30	20	RNA interference	
653	266853	eif-1	Protein EIF-1	Caenorhabditis elegans	Cel.198	T27F7.3			increase	RNA interference in adulthood extended mean lifespan by 25%.	anti		25	RNA interference	
217	175138	eif-3.B	Eukaryotic Initiation Factor	Caenorhabditis elegans	Cel.16994	Y54E2A.11			increase	RNA interference in adulthood extended mean lifespan by 51%.	anti		51	RNA interference	
218	174478	eif-3.F	Eukaryotic Initiation Factor	Caenorhabditis elegans	Cel.17162	D2013.7			increase	RNA interference in adulthood extended mean lifespan by 32%.	anti		32	RNA interference	
218	174478	eif-3.F	Eukaryotic Initiation Factor	Caenorhabditis elegans	Cel.17162	D2013.7			increase	Post developmental RNAi resulted in a 28% mean lifespan extension.	anti		28	RNA interference	
2091	179779	eif-3.K	Eukaryotic translation initiation factor 3 subunit K	Caenorhabditis elegans					increase	In C. elegans mutants lacking eif-3.K, a nonessential eIF3 subunit, demonstrated a 40% increase in lifespan and enhanced resistance to endoplasmic reticulum stress. 	anti		40	Mutation	
2097	190775	elc-1	ELongin C	Caenorhabditis elegans					increase 	Downregulation of elc-1 increased lifespan by upregulating pro-longevity HIF-1. Downregulation of elc-1 also delayed paralysis in a worm model of Huntington's disease. 	anti		12	RNA interference	
2067	177787	elo-1	fatty acid ELOngation	Caenorhabditis elegans	19507				increase	RNA interference of elo-1 resulted in lifespan extension (mean lifespan 11% higher). 	anti		11	RNA interference	
2068	178532	elo-2	fatty acid ELOngation	Caenorhabditis elegans	13148				increase	RNA interference of elo-2 resulted in lifespan extension (mean lifespan 9% higher). 	anti		9	RNA interference	
219	177320	elo-5	fatty acid ELOngation	Caenorhabditis elegans	Cel.6925	F41H10.7			decrease	RNA interference decreased median lifespan by 45% in wild type animals and 29% in daf-2 mutants.	pro		45	RNA interference	
220	176993	elt-6	Erythroid-Like Transcription factor family	Caenorhabditis elegans	Cel.19342	F52C12.5			increase	RNA interference increased mean lifespan by 34%.	anti		34	RNA interference	
220	176993	elt-6	Erythroid-Like Transcription factor family	Caenorhabditis elegans	Cel.19342	F52C12.5			increase	Post developmental RNAi resulted in a 30% maximal lifespan extension.	anti	30		RNA interference	
1768	174314	emb-27	Protein EMB-27	Caenorhabditis elegans					increase	Post-developmental RNAi of emb-27 extends lifespan of wild type worms.	anti	8.7	10.5	Post-developmental RNA interference	
929	184599	ent-5	hypothetical protein	Caenorhabditis elegans		F16H11.3			increase	RNAi led to 20% increase in mean lifespan	anti		20	RNA interference post development	
221	176679	epc-1	Enhancer of PolyComb-like	Caenorhabditis elegans	Cel.8438	Y111B2A.11			increase	RNA interference increased mean lifespan by 20%.	anti		20	RNA interference	
2232	178602	ergo-1	Endogenous-RNAi deficient arGOnaute	Caenorhabditis elegans					increase	Downregulation of ergo-1 in post-reproductive rrf-3 worms (9 days) increased mean lifespan by 19%. 	anti		19	RNA interference	
922	176868	eri-1	Enhanced RNAI (RNA interference) 	Caenorhabditis elegans		T07A9.5			decrease	RNAi resulted in a 42% reduction in mean adult life span at 9.3 days at 25 C for unknown reasons.	pro		43	RNA interference post development	
224	172174	erm-1	Ezrin/Radixin/Moesin	Caenorhabditis elegans	Cel.5070	C01G8.5			increase	RNA interference in adulthood resulted in a 15% mean lifespan extension.	anti		15	RNA interference	
225	173325	ero-1	Endoplasmic Reticulum Oxidase	Caenorhabditis elegans	Cel.16217	Y105E8B.8			increase	RNA interference in adulthood resulted in a 32% mean lifespan extension.	anti		32	RNA interference	
923	180927	ets-4	ETS class transcription factor	Caenorhabditis elegans		F22A3.1			increase	Adult worms had 40% mean life span extension.	anti		40	RNA interference post development	
1827	180702	ets-9	Protein ETS-9	Caenorhabditis elegans					decrease	Several of the RNAi candidates (dve-1; lin-40; nhr-49; ceh-20; lin-11; and nhr-77) appeared to non-discriminately shorten lifespan in all strains tested, suggesting that the corresponding transcription factors are broadly required for survival. Interestingly, four RNAi clones (ZC123.3; nhr-119; ceh-37; and aha-1) affected wild-type and isp-1;ctb-1 mutant worms' lifespan to the same extent but exerted only a moderate or no effect on daf-16 and age-1 mutant longevity.	pro		23	RNA interference	
924	173069	exo-3	EXOnuclease	Caenorhabditis elegans		R09B3.1			decrease	Suppression of exo-3 significantly reduced lifespan: mean lifespan decreased by 20% and maximum lifespan decreased by 10%	pro	10	20	RNA interference	
276	186604	exos-3	EXOSome (multiexonuclease complex) component	Caenorhabditis elegans	Cel.30674	F59C6.4			increase	RNA interference in adulthood extended mean lifespan by 12%.	anti		12	RNA interference	
2031	178020	F01G4.6	Phosphate carrier protein, mitochondrial	Caenorhabditis elegans	18209				increase	RNA interference of F01G4.6 results in an increased lifespan.	anti		11.9	RNA interference	
1942	176285	F02A9.4	Probable methylcrotonoyl-CoA carboxylase beta chain, mitochondrial	Caenorhabditis elegans	.7000				increase	RNA interference of F02A9.4 extends mean lifespan (by 13.3%) compared to wild-type worms.	anti		13.3	RNA interference	
228	177674	F08B4.7	Protein F08B4.7	Caenorhabditis elegans	Cel.8748	F08B4.7			increase	RNA interference increased mean lifespan by 21%.	anti		21	RNA interference	
1769	175767	F09F7.3	Protein F09F7.3	Caenorhabditis elegans					increase	Post-developmental RNAi of rpc-2 extends lifespan of wild type worms.	anti	21.7	8.1	Post-developmental RNA interference	
2041	175766	F09F7.4	hypothetical protein	Caenorhabditis elegans	6091				increase	RNA interference of F09F7.4 results in an increased lifespan.	anti		10.7	RNA interference	
230	175764	F09F7.5	Protein F09F7.5	Caenorhabditis elegans	Cel.10630	F09F7.5			increase	RNA interference extends lifespan.	anti			RNA interference	
926	184367	F11G11.13	hypothetical protein	Caenorhabditis elegans		F11G11.13			increase	Extended mean life span (10-20% in different backgrounds) when inactivated 	anti		20	RNA interference post development	
232	184407	F13B6.1	Protein F13B6.1	Caenorhabditis elegans	Cel.13144	F13B6.1			increase	RNA interference increased mean lifespan by 50%.	anti		50	RNA interference	
233	172478	F13G3.7	Protein F13G3.7	Caenorhabditis elegans	Cel.20342	F13G3.7			increase	RNA interference extends lifespan by about 25%.	anti		25	RNA interference	
234	172752	F14B4.3	Protein F14B4.3	Caenorhabditis elegans	Cel.6204	F14B4.3			increase	RNA interference in adulthood resulted in a 15% mean lifespan extension.	anti		15	RNA interference	
927	184523	F15B9.6	hypothetical protein	Caenorhabditis elegans		F15B9.6			increase	17% mean lifespan extension	anti		17	RNA interference post development	
928	184528	F15D3.8	hypothetical protein	Caenorhabditis elegans		F15D3.8			increase	10% mean lifespan extension	anti		10	RNA interference post development	
236	178181	F19B6.1	Protein F19B6.1	Caenorhabditis elegans	Cel.22547	F19B6.1			increase	RNA interference in adulthood resulted in a 35% mean lifespan extension.	anti		35	RNA interference	
238	174019	F21H12.1	Protein F21H12.1	Caenorhabditis elegans	Cel.15343	F21H12.1			increase	RNA interference extends lifespan.	anti			RNA interference	
930	184826	F22D3.5	hypothetical protein	Caenorhabditis elegans		F22D3.5			increase	Extended mean life span (10% in different backgrounds) when inactivated 	anti		10	RNA interference post development	
932	184916	F25B3.5	hypothetical protein	Caenorhabditis elegans		F25B3.5			increase	20% mean lifespan extension	anti		20	RNA interference post development	
241	172525	F26A3.4	Protein F26A3.4	Caenorhabditis elegans	Cel.18879	F26A3.4			increase	RNA interference in adulthood resulted in a 27% mean lifespan extension.	anti		27	RNA interference	
